ID,Category,Feedback,Sentiment,Date,cleaned_feedback,sentiment_label
277,Digital Services,The passport application process was smooth and quick.,Negative,19-02-2023,the passport application process was smooth and quick,0
278,Healthcare,Ambulance services are not timely and need improvement.,Neutral,16-06-2024,ambulance services are not timely and need improvement,1
279,Education,The new education policy is beneficial for students.,Positive,26-12-2023,the new education policy is beneficial for students,2
280,Sanitation,More dustbins should be placed in public areas.,Positive,19-10-2024,more dustbins should be placed in public areas,2
281,Water Supply,Drinking water quality has improved recently.,Negative,25-11-2023,drinking water quality has improved recently,0
282,Electricity,The new solar power initiatives are great.,Positive,08-10-2023,the new solar power initiatives are great,2
283,Digital Services,The passport application process was smooth and quick.,Positive,22-02-2024,the passport application process was smooth and quick,2
284,Healthcare,Waiting times at public hospitals are too long.,Neutral,28-06-2024,waiting times at public hospitals are too long,1
285,Public Welfare,Subsidized food programs help low-income families.,Neutral,08-11-2023,subsidized food programs help lowincome families,1
286,Sanitation,More dustbins should be placed in public areas.,Negative,05-05-2023,more dustbins should be placed in public areas,0
287,Water Supply,"Water pipelines keep leaking, causing wastage.",Positive,25-04-2024,water pipelines keep leaking causing wastage,2
288,Digital Services,E-governance services need better customer support.,Neutral,01-04-2024,egovernance services need better customer support,1
289,Digital Services,The passport application process was smooth and quick.,Negative,25-11-2024,the passport application process was smooth and quick,0
290,Healthcare,Medicines are often out of stock at government pharmacies.,Neutral,15-08-2024,medicines are often out of stock at government pharmacies,1
291,Healthcare,Ambulance services are not timely and need improvement.,Positive,05-05-2023,ambulance services are not timely and need improvement,2
292,Digital Services,E-governance services need better customer support.,Positive,20-11-2023,egovernance services need better customer support,2
293,Water Supply,"Water pipelines keep leaking, causing wastage.",Negative,03-12-2024,water pipelines keep leaking causing wastage,0
294,Law & Order,The new security cameras have improved safety.,Negative,21-07-2024,the new security cameras have improved safety,0
295,Healthcare,Ambulance services are not timely and need improvement.,Positive,19-10-2023,ambulance services are not timely and need improvement,2
296,Healthcare,Ambulance services are not timely and need improvement.,Negative,23-06-2023,ambulance services are not timely and need improvement,0
297,Road Infrastructure,Footpaths should be maintained better for pedestrians.,Negative,18-09-2023,footpaths should be maintained better for pedestrians,0
298,Water Supply,Sewage water is mixing with drinking water in some areas.,Negative,13-10-2024,sewage water is mixing with drinking water in some areas,0
299,Public Transport,Buses are always late and overcrowded.,Negative,26-11-2024,buses are always late and overcrowded,0
300,Public Transport,Buses are always late and overcrowded.,Positive,20-08-2024,buses are always late and overcrowded,2
